month,event,spend_type,duration,fraction_converted,doses,start_pct,end_pct,threshold_notes
0,"END OF BOOK 1 — 'approximately one-third cellular recovery' (ch30), read as a LEVEL on FAERIS's scale",anchor,,,,33.3,33.3,<50 CONCERNING
0,Interregnum Oct-Dec: 3 scheduled monthly doses (Director: 'plus ~three months of treatment'); no priced spend,dose,3 doses,,3,33.3,57.3,recrosses >=50
1,"Isaiah riot freeze — 47 min, plaza-scale (~30 m), work (saves 23), panic-triggered (no shrink)",freeze,47 min @30 m,0.1569,,57.3,48.3,crosses <50 CONCERNING
1,Stampede freeze at the debate hall — 3 min (~20 m),freeze,3 min @20 m,0.0072,,48.3,48.0,<50 CONCERNING
1,Exile Island extraction #1 — NK general at a parade (ch4 seed),extraction,13 min @20 m,0.0310,,48.0,46.5,<50 CONCERNING
1,Scheduled monthly dose (ch4 treatment scene),dose,1 dose,,1,46.5,54.5,recrosses >=50
1,"Jakarta operation (11,000 saved) — 60 min plaza-scale (~30 m) working field",op,60 min @30 m,0.1957,,54.5,43.8,crosses <50 CONCERNING
1,Eidolon mob — FAERIS extracts her; costs nothing (#16),faeris,,,,43.8,43.8,<50 CONCERNING
2,Emergency dose after Jakarta (ch5),dose,1 dose,,1,43.8,51.8,recrosses >=50
2,Exile Island extraction #2 — Belarus (ch6); 'third straight week of vacuums' (ch8),extraction,13 min @20 m,0.0310,,51.8,50.2,
2,Exile Island extraction #3 — Belarus (ch6); 'third straight week of vacuums' (ch8),extraction,13 min @20 m,0.0310,,50.2,48.7,crosses <50 CONCERNING
2,Exile Island extraction #4 — Belarus (ch6); 'third straight week of vacuums' (ch8),extraction,13 min @20 m,0.0310,,48.7,47.1,<50 CONCERNING
2,Ruth's top-off (ch7) = the scheduled monthly dose,dose,1 dose,,1,47.1,55.1,recrosses >=50
2,"Eastern Europe arms-shipment op (~8,000 saved) — 45 min plaza-scale field",op,45 min @30 m,0.1507,,55.1,46.8,crosses <50 CONCERNING
2,Emergency dose after Eastern Europe (ch8; first falsified record),dose,1 dose,,1,46.8,54.8,recrosses >=50
3,Month 3 grinding: one Jakarta-class intervention (Ryu intel pipeline) — 50 min @30 m,op,50 min @30 m,0.1660,,54.8,45.7,crosses <50 CONCERNING
3,Emergency dose after the intervention (the ch8 pattern),dose,1 dose,,1,45.7,53.7,recrosses >=50
3,Exile Island extraction #5,extraction,13 min @20 m,0.0310,,53.7,52.1,
3,Exile Island extraction #6,extraction,13 min @20 m,0.0310,,52.1,50.5,
3,Scheduled monthly dose,dose,1 dose,,1,50.5,58.5,
4,Month 4 grinding: one Jakarta-class intervention (Ryu intel pipeline) — 50 min @30 m,op,50 min @30 m,0.1660,,58.5,48.8,crosses <50 CONCERNING
4,Emergency dose after the intervention (the ch8 pattern),dose,1 dose,,1,48.8,56.8,recrosses >=50
4,Exile Island extraction #7 (ch10/ch12 seeds),extraction,13 min @20 m,0.0310,,56.8,55.0,
4,Exile Island extraction #8 (ch10/ch12 seeds),extraction,13 min @20 m,0.0310,,55.0,53.3,
4,Exile Island extraction #9 (ch10/ch12 seeds),extraction,13 min @20 m,0.0310,,53.3,51.6,
4,"Kain extraction (ch20: exiled Month 4; avatar melts, respawns) — priced as a standard extraction; MAY be Tier 2",extraction,13 min @20 m,0.0310,,51.6,50.0,
4,Scheduled monthly dose,dose,1 dose,,1,50.0,58.0,
5,Month 5 grinding: one Jakarta-class intervention (Ryu intel pipeline) — 50 min @30 m,op,50 min @30 m,0.1660,,58.0,48.4,crosses <50 CONCERNING
5,Emergency dose after the intervention (the ch8 pattern),dose,1 dose,,1,48.4,56.4,recrosses >=50
5,Exile Island extraction #10,extraction,13 min @20 m,0.0310,,56.4,54.7,
5,Exile Island extraction #11,extraction,13 min @20 m,0.0310,,54.7,53.0,
5,Scheduled monthly dose,dose,1 dose,,1,53.0,61.0,
